序号,车间,工段编号,工段名称,工位编号,工位名称,控制器序号列,控制器名称,IP地址,备注
1,总装,C1,C1,104L,104L,,C1-104L,"10.92.185.24,25",
2,总装,C1,C1,108L,108L,,C1-108L,"10.92.185.18,19",WIFI
3,总装,C1,C1,109R,109R,,C1-109R,"10.92.185.10,11",WIFI
4,总装,C1,C1,112L,112L,,C1-112L,"10.92.185.26,27",WIFI
5,总装,C1,C1,112R,112R,,C1-112R,"10.92.185.34,35",WIFI
6,总装,C1,C1,103L,103L,,C1-103L,10.92.184.74，75,WIFI
7,总装,C2,C2,121L,121L,,C2-121L,"10.92.184.12,13",WIFI
8,总装,C2,C2,121R,121R,,C2-121R,"10.92.184.14,15",WIFI
9,总装,C2,C2,131L,131L,,C2-131L,"10.92.183.196,197",WIFI
10,总装,C2,C2,131R,131R,,C2-131R,"10.92.183.200,201",WIFI
11,总装,C2,C2,134M,134M,,C2-134M,10.92.183.206，207,WIFI
13,总装,C2,C2,134R,134R,,C2-134R,"10.92.183.198,199",WIFI
14,总装,T1,T1,14,14,,T1-014,"10.92.183.130,131",WIFI
15,总装,T1,T1,004L,004L,,T1-004L,10.92.183.66，67,WIFI
16,总装,T1,T1,18,18,,T1-018,10.92.183.138，139,
17,总装,T1,T1,018EP,018EP,,T1-018EP,"10.92.183.136,137",WIFI
18,总装,T2,T2,33,33,,T2-033,10.92.183.82，83,
20,总装,新后桥,新后桥,HF01A,HF01A,,新后桥-HF01A,"10.92.184.22,23",
21,总装,新后桥,新后桥,HF01B,HF01B,,新后桥-HF01B,"10.92.184.24,24",
22,总装,新后桥,新后桥,HF02L,HF02L,,新后桥-HF02L,"10.92.184.26,27",
23,总装,新后桥,新后桥,HF02R,HF02R,,新后桥-HF02R,"10.92.184.28,29",
24,总装,后桥,后桥,N503R,N503R,,后桥-N503R,10.92.184.108，109,
25,总装,QJ,QJ,604,604,,QJ-604,"10.92.185.126,127",
26,总装,前角,前角,FSO3R,FSO3R,,前角-FSO3R,"10.92.185.132,133",
27,总装,前角,前角,FS03L,FS03L,,前角-FS03L,"10.92.185.14,15",
28,总装,C1,C1,406L,406L,,C1-406L,"10.92.185.16,17",
29,总装,C1,C1,406LHAD,406LHAD,,C1-406LHAD,"10.92.185.22,23",
30,总装,C1,C1,103R,103R,,C1-103R,10.92.184.70，71,
31,总装,C1,C1,103AR/103BR,103AR/103BR,,C1-103AR/103BR,10.92.184.72，73,
33,总装,C1,C1,113,113,,C1-113,"10.92.185.40,41",
34,总装,C1,C1,113M,113M,,C1-113M,"10.92.185.44,45",
36,总装,C1,C1,119L,119L,,C1-119L,"10.92.185.48,49",
38,总装,C1,C1,406,406,,C1-406,"10.92.185.70,71",
39,总装,C1,C1,407,407,,C1-407,"10.92.185.82,83",
40,总装,C1,C1,407R,407R,,C1-407R,"10.92.185.84,85",
41,总装,C2,C2,125,125,,C2-125,"10.92.184.16,17",
43,总装,T2,T2,28,28,,T2-028,"10.92.183.140,141",
47,总装,E,E,305L,305L,,E-305L,"10.92.185.94,95",
48,总装,E,E,307,307,,E-307,"10.92.185.100,101",
50,总装,E1,E1,505R,505R,,E1-505R,10.92.184.96，97,
51,总装,E1,E1,701,701,,E1-701,"10.92.185.112,113",
55,总装,T1,T1,018R,018R,,T1-018R,"10.92.183.134,135",
56,总装,C2,C2,140,140,,C2-140,10.92.184.78，79,WIFI
59,总装,T2,T2,028EP,028EP,,T2-028EP,"10.92.183.142,143",WIFI
61,总装,C1,C1,113L,113L,,C1-113L,"10.92.185.42,43",
63,总装,C1,C1,119R,119R,,C1-119R,"10.92.185.54,55",
65,总装,C1,C1,402R,402R,,C1-402R,"10.92.185.56,57",WIFI
67,总装,C1,C1,104R,104R,,C1-104R,"10.92.185.30,31",
68,总装,C1,C1,109L,109L,,C1-109L,"10.92.185.32,33",
69,总装,T2,T2,033L,033L,,T2-033L,10.92.183.71，72,
70,总装,E,E,306L,306L,,E-306L,"10.92.185.36,37",
71,总装,E1,E1,908L,908L,,E1-908L,"10.92.203.6,7",
72,总装,T1,T1,004R-wife,004R-wife,,T1-004R-wife,10.92.183.100.101,WIFI
73,总装,T1,T1,006R,006R,,T1-006R,"10.92.183.84,85",
74,总装,T1,T1,007L,007L,,T1-007L,10.92.183.74，75,
75,总装,T2,T2,035L,035L,,T2-035L,10.92.183.76，77,
76,总装,T2,T2,035R,035R,,T2-035R,10.92.183.80，81,
77,总装,C1,C1,104L辅助臂（反力杆）,104L辅助臂（反力杆）,,C1-104L辅助臂（反力杆）,"10.92.185.146,147",
78,总装,C1,C1,104R辅助臂（反力杆）,104R辅助臂（反力杆）,,C1-104R辅助臂（反力杆）,"10.92.185.12,13",
79,总装,T1,T1,5,5,,T1-005,"10.92.183.68,69",
80,总装,T2,T2,038R,038R,,T2-038R,"10.92.183.78,79",
81,总装,C1,C1,103WIFI,103WIFI,,C1-103WIFI,"10.92.184.110,111",
82,总装,C1,C1,108,108,,C1-108,"10.92.185.20,21",
85,总装,C1,C1,114,114,,C1-114,"10.92.185.46,47",
86,总装,C2,C2,120L,120L,,C2-120L,"10.92.184.10,11",
87,总装,C2,C2,125M特殊头,125M特殊头,,C2-125M特殊头,"10.92.184.18,19",
88,总装,C2,C2,129R,129R,,C2-129R,10.92.183.212，213,WIFI
89,总装,C2,C2,134L,134L,,C2-134L,"10.92.183.194,195",WIFI
90,总装,C3,C3,142L,142L,,C3-142L,10.92.184.114，115,WIFI
91,总装,C3,C3,150,150,,C3-150,"10.92.184.82,83",WIFI
92,总装,C3,C3,151L,151L,,C3-151L,"10.92.184.84,85",WIFI
93,总装,C3,C3,151R,151R,,C3-151R,10.92.184.8  10.92.184.18,WIFI
94,总装,C3,C3,152L,152L,,C3-152L,"10.92.184.120,121",WIFI
95,总装,C3,C3,152R,152R,,C3-152R,"10.92.184.88,89",WIFI
96,总装,E,E,303L,303L,,E-303L,"10.92.185.92,93",WIFI
98,总装,E,E,305L-1,305L-1,,E-305L-1,"10.92.185.148,149",
99,总装,E,E,307R,307R,,E-307R,"10.92.185.102,103",
100,总装,E,E,308L-1,308L-1,,E-308L-1,"10.92.185.106,107",
101,总装,E,E,308L-2,308L-2,,E-308L-2,"10.92.185.104,105",
102,总装,C1,C1,403L辅助臂改造,403L辅助臂改造,,C1-403L辅助臂改造,"10.92.185.58,59",
103,总装,C1,C1,405R-1,405R-1,,C1-405R-1,"10.92.185.62,63",
104,总装,C1,C1,405R-2,405R-2,,C1-405R-2,"10.92.185.64,65",
106,总装,C1,C1,406L-ERP250,406L-ERP250,,C1-406L-ERP250,"10.92.185.28,29",
108,总装,C1,C1,407R-ERP250,407R-ERP250,,C1-407R-ERP250,"10.92.185.86,87",
109,总装,C1,C1,407RWiFi,407RWiFi,,C1-407RWiFi,"10.92.185.78,79",
110,总装,C1,C1,409R,409R,,C1-409R,"10.92.185.90,91",
111,总装,E1,E1,504L+辅助机械臂改造,504L+辅助机械臂改造,,E1-504L+辅助机械臂改造,"10.92.184.90,91",
112,总装,E1,E1,504R+辅助机械臂改造,504R+辅助机械臂改造,,E1-504R+辅助机械臂改造,10.92.184.92，93,
113,总装,E1,E1,506L,506L,,E1-506L,10.92.184.94.95,
114,总装,E1,E1,507L,507L,,E1-507L,"10.92.184.116,117",
115,总装,E1,E1,507R,507R,,E1-507R,10.92.184.100，101,
116,总装,E1,E1,511,511,,E1-511,"10.92.185.108,109",
117,总装,QJ,QJ,602L,602L,,QJ-602L,"10.92.185.122,123",
118,总装,QJ,QJ,603R,603R,,QJ-603R,"10.92.185.118,119",
119,总装,E1,E1,702L-OK,702L-OK,,E1-702L-OK,"10.92.185.114,115",
120,总装,E1,E1,908,908,,E1-908,"10.92.203.8,9",
121,总装,前角,前角,FS03,FS03,,前角-FS03,"10.92.185.134,135",
123,总装,MFE,MFE,MFE02,MFE02,,MFE-MFE02,"10.92.184.20,21",
124,总装,后桥,后桥,N503,N503,,后桥-N503,"10.92.184.104,105",
